NABIJHEIDHORECATAB;NABIJHEIDHORECAJJJJTABVV;
NABIJHEIDKINDOPVTAB;NABIJHEIDKINDOPVJJJJTABVV;
NABIJHEIDONDERWIJSTAB;NABIJHEIDONDERWIJSJJJJTABVV;
NABIJHEIDVERKEERTAB;NABIJHEIDVERKEERJJJJTABVV;
NABIJHEIDZORGTAB;NABIJHEIDZORGJJJJTABVV;
NBO;NBO;
NEA;NEA2012;
NIETGBANATIONALITEITBUS;NIETGBANATIONALITEITBUSVV;
NIETGBAPERSOONTAB;NIETGBAPERSOONTABVV;
NIETGBAVERBLIJFBUS;NIETGBAVERBLIJFBUSVV;
NIETVSLGWBTAB;NIETVSLGWBTABVV;
NLSTAB;NLSJJJJTABVV;
OBJECTENERGIELABELSTAB;OBJECTENERGIELABELSJJJJTABVV;
OBJECTWONINGTAB;OBJECTWONINGJJJJTABVV;
VRLOBJECTWOONMUTTAB;OBJECTWOONMUTJJJJTABVV;
OUTWARD_FATS;OFATS_jjjj;
ONDERWIJSDEELNEMERSTAB;ONDERWIJSDEELNEMERSJJJJTABVV;
ONDERWIJSINSCHRTAB;ONDERWIJSINSCHRJJJJTABVV;
ONDERWIJSPERSONEELTAB;OnderwijspersoneelJJJJTABVV;
OOGSTRAKKER;Oogstraming akkerbouw;
OORLVERZETPERSOONMNDBEDRAGBUS;OORLVERZETPERSOONMNDBEDRAGJJJJBUSVV;
OVARBEIDBUS;OVARBEIDBUSVV;
OVARBEIDMNDBEDRAGBUS;OVARBEIDMNDBEDRAGBUSVV;
OVIN;OViN2014;
OVUITKJAARBEDRAGTAB;OVUITKJAARBEDRAGJJJJTABVV;
OVUITKPERSOONBUS;OVUITKPERSOONJJJJBUSVV;
ABR_PAB;PABjjjj;
PARTNERBUS;PARTNERJJJJBUSVV;
PC4OADSTED;PC4_sted_oad_jjjj;
PENSAANSPRAAKOPTAB;PENSAANSPRAAKOPJJJJTABVV;
PENSAANSPRAAKPPTAB;PENSAANSPRAAKPPJJJJTABVV;
PENSOVJAARBEDRAGTAB;PENSOVJAARBEDRAGJJJJTABVV;
PENSOVMNDBEDRAGBUS;PENSOVMNDBEDRAGJJJJBUSVV;
PENSOVPERSOONBUS;PENSOVPERSOONJJJJBUSVV;
PENSOVPERSOONMNDBEDRAGBUS;PENSOVPERSOONMNDBEDRAGJJJJBUSVV;
PERSOONINKBEIDTAB;PERSOONINKBEIDJJJJTABVV;
PGBAWBZTAB;PGBAWBZJJJJTABVV;
PGBWLZWMOJWTAB;PGBWLZWMOJWJJJJTABVV;
PIVAADRESOBJECTBUS;PIVAADRESOBJECTJJJJBUSVV;
PIVABURGERLIJKESTAATBUS;PIVABURGERLIJKESTAATJJJJBUSVV;
PIVAMIGRATIEBUS;PIVAMIGRATIEJJJJBUSVV;
PIVANATIONALITEITBUS;PIVANATIONALITEITJJJJBUSVV;
PIVAOVERLIJDENTAB;PIVAOVERLIJDENJJJJTABVV;
PIVAPERSOONTAB;PIVAPERSOONJJJJTABVV;
PIVASTANDBEVOLKINGTAB;PIVASTANDBEVOLKINGJJJJTABVV;
PNB;PNBJJJJ_250_vX;
